age,study_hours,study_seatings,social_media_hours,attendance,skill_hours,semester_gpa,cumulative_gpa,credits,family_income,english_proficiency_basic,english_proficiency_intermediate,health_issues_no,health_issues_yes,health_issues_no,scholarship_yes,gender_male,transportation_yes,disabilities_yes,skills_cyber_security,skills_machine_learning,skills_networking,skills_other,skills_programming,skills_software_development,skills_web_development,interest_area_data_science,interest_area_hardware,interest_area_machine_learning,interest_area_networking,interest_area_other,interest_area_software,interest_area_ui/ux
21,2,1,3,90.0,1,2.68,3.15,11,30000,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
21,2,2,2,88.0,2,4.0,4.0,11,20000,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
21,5,2,1,95.0,2,2.68,3.15,11,30000,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
20,3,1,2,100.0,1,3.9,3.9,12,60000,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
20,2,2,1,100.0,2,2.68,3.15,11,40000,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
22,1,1,7,80.0,2,2.68,3.15,11,32000,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
20,1,2,2,100.0,1,2.68,3.15,11,30000,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20,1,2,1,98.0,2,2.68,3.15,11,40000,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
20,4,1,3,85.0,2,2.68,3.15,11,30000,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
20,2,1,4,99.0,2,2.68,3.15,11,40000,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
20,1,1,4,75.0,1,2.68,3.15,11,35000,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
21,3,2,4,85.0,2,2.68,3.15,36,40000,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
23,1,2,2,100.0,2,2.68,3.15,126,15000,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
21,3,2,5,95.0,1,3.84,3.8,80,23000,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
21,3,2,2,95.0,2,2.68,3.15,88,62488,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
24,2,2,4,70.0,2,3.31,3.52,132,350000,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
22,3,2,4,100.0,2,2.68,3.15,88,50000,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
21,3,1,2,95.0,1,2.68,3.15,11,40000,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
20,3,2,2,100.0,5,2.68,3.15,11,35000,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
21,3,2,2,80.0,2,2.68,3.15,88,35000,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
21,8,2,1,100.0,2,2.68,3.15,11,30000,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
23,2,2,1,90.0,1,2.68,3.15,88,40000,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
20,4,1,1,95.0,1,2.68,3.15,11,35000,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
21,1,1,2,95.0,2,2.68,3.15,88,40000,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
24,2,2,3,80.0,1,2.68,3.15,136,30000,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
22,3,1,1,100.0,8,2.68,3.15,88,35000,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
21,4,1,2,95.0,2,2.68,3.15,88,25000,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
20,5,3,2,99.0,2,2.68,3.15,11,600000,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
20,4,3,4,100.0,2,2.68,3.15,11,35000,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
20,1,1,5,80.0,2,3.49,3.67,71,40000,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
21,4,1,2,100.0,2,3.07,2.74,85,20000,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
21,3,1,8,85.0,1,2.68,3.15,88,20000,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
21,3,1,1,95.0,1,3.76,3.5,83,92000,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
22,3,1,1,98.0,2,2.7,2.8,80,35000,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
